Thousands of Words ;Length;Rank Oxford 100;;Rank;;;Fry's List of 1000 Most Common Words
vat;3;;;;;;ago
via;3;;;;;;stood
vim;3;;;;;;plane
vow;3;;;;;;system
wad;3;;;;;;behind
war;3;;;;;;ran
was;3;;;;;;round
wax;3;;;;;;boat
way;3;;;;;;game
web;3;;;;;;force
wed;3;;;;;;brought
wee;3;;;;;;understood
wet;3;;;;;;warm
who;3;;;;;;common
why;3;;;;;;bring
wig;3;;;;;;explain
win;3;;;;;;dry
wit;3;;;;;;though
woe;3;;;;;;language
wok;3;;;;;;shape
won;3;;;;;;deep
woo;3;;;;;;thousands
wow;3;;;;;;yes
wry;3;;;;;;clear
yak;3;;;;;;equation
yam;3;;;;;;yet
yap;3;;;;;;government
yea;3;;;;;;filled
yen;3;;;;;;heat
yep;3;;;;;;full
yes;3;;;;;;hot
yet;3;;;;;;check
yew;3;;;;;;object
yip;3;;;;;;am
yon;3;;;;;;rule
you;3;18;;;;;among
zap;3;;;;;;noun
zip;3;;;;;;power
zoo;3;;;;;;cannot
abet;4;;;;;;able
able;4;;;;;;six
ably;4;;;;;;size
abut;4;;;;;;dark
aced;4;;;;;;ball
aces;4;;;;;;material
ache;4;;;;;;special
achy;4;;;;;;heavy
acid;4;;;;;;fine
acme;4;;;;;;pair
acne;4;;;;;;circle
acre;4;;;;;;include
acts;4;;;;;;built
adds;4;;;;;;can’t
adze;4;;;;;;matter
aeon;4;;;;;;square
aery;4;;;;;;syllables
afar;4;;;;;;perhaps
agar;4;;;;;;bill
aged;4;;;;;;felt
ages;4;;;;;;suddenly
agog;4;;;;;;test
ague;4;;;;;;direction
ahem;4;;;;;;center
ahoy;4;;;;;;farmers
aide;4;;;;;;ready
aids;4;;;;;;anything
ails;4;;;;;;divided
aims;4;;;;;;general
airs;4;;;;;;energy
airy;4;;;;;;subject
ajar;4;;;;;;Europe
akin;4;;;;;;moon
alas;4;;;;;;region
albs;4;;;;;;return
ales;4;;;;;;believe
alga;4;;;;;;dance
alit;4;;;;;;members
ally;4;;;;;;picked
alms;4;;;;;;simple
aloe;4;;;;;;cells
alps;4;;;;;;paint
also;4;;;;;;mind
alto;4;;;;;;love
alum;4;;;;;;cause
amen;4;;;;;;rain
amid;4;;;;;;exercise
amir;4;;;;;;eggs
ammo;4;;;;;;train
amok;4;;;;;;blue
amps;4;;;;;;wish
anal;4;;;;;;drop
anew;4;;;;;;developed
ankh;4;;;;;;window
anon;4;;;;;;difference
ante;4;;;;;;distance
anti;4;;;;;;heart
ants;4;;;;;;sit
anus;4;;;;;;sum
aped;4;;;;;;summer
apes;4;;;;;;wall
apex;4;;;;;;forest
apse;4;;;;;;probably
aqua;4;;;;;;legs
arch;4;;;;;;sat
arcs;4;;;;;;main
area;4;;;;;;winter
ares;4;;;;;;wide
aria;4;;;;;;written
arid;4;;;;;;length
arks;4;;;;;;reason
arms;4;;;;;;kept
army;4;;;;;;interest
arts;4;;;;;;arms
arty;4;;;;;;brother
arum;4;;;;;;race
ashy;4;;;;;;present
asks;4;;;;;;beautiful
asps;4;;;;;;store
atom;4;;;;;;job
atop;4;;;;;;edge
auks;4;;;;;;past
aunt;4;;;;;;sign
aura;4;;;;;;record
auto;4;;;;;;finished
aver;4;;;;;;discovered
avid;4;;;;;;wild
avow;4;;;;;;happy
away;4;;;;;;beside
awed;4;;;;;;gone
awes;4;;;;;;sky
awls;4;;;;;;glass
awns;4;;;;;;million
awol;4;;;;;;west
awry;4;;;;;;lay
axed;4;;;;;;weather
axes;4;;;;;;root
axis;4;;;;;;instruments
axle;4;;;;;;meet
axon;4;;;;;;third
ayah;4;;;;;;months
ayes;4;;;;;;paragraph
baas;4;;;;;;raised
babe;4;;;;;;represent
baby;4;;;;;;soft
back;4;;;;;;whether
bade;4;;;;;;clothes
bags;4;;;;;;flowers
baht;4;;;;;;shall
bail;4;;;;;;teacher
bait;4;;;;;;held
bake;4;;;;;;describe
bald;4;;;;;;drive
bale;4;;;;;;cross
balk;4;;;;;;speak
ball;4;;;;;;solve
balm;4;;;;;;appear
band;4;;;;;;metal
bane;4;;;;;;son
bang;4;;;;;;either
bani;4;;;;;;ice
bank;4;;;;;;sleep
bans;4;;;;;;village
barb;4;;;;;;factors
bard;4;;;;;;result
bare;4;;;;;;jumped
barf;4;;;;;;snow
bark;4;;;;;;ride
barn;4;;;;;;care
bars;4;;;;;;floor
base;4;;;;;;hill
bash;4;;;;;;pushed
bask;4;;;;;;baby
bass;4;;;;;;buy
bast;4;;;;;;century
bate;4;;;;;;outside
bath;4;;;;;;everything
bats;4;;;;;;tall
baud;4;;;;;;already
bawd;4;;;;;;instead
bawl;4;;;;;;phrase
bays;4;;;;;;soil
bead;4;;;;;;bed
beak;4;;;;;;copy
beam;4;;;;;;free
bean;4;;;;;;hope
bear;4;;;;;;spring
beat;4;;;;;;case
beau;4;;;;;;laughed
beck;4;;;;;;nation
beds;4;;;;;;quite
beef;4;;;;;;type
been;4;;;;;;themselves
beep;4;;;;;;temperature
beer;4;;;;;;bright
bees;4;;;;;;lead
beet;4;;;;;;everyone
begs;4;;;;;;method
bell;4;;;;;;section
belt;4;;;;;;lake
bend;4;;;;;;consonant
bent;4;;;;;;within
berg;4;;;;;;dictionary
berm;4;;;;;;hair
best;4;;;;;;age
beta;4;;;;;;amount
bets;4;;;;;;scale
bevy;4;;;;;;pounds
beys;4;;;;;;although
bias;4;;;;;;per
bibs;4;;;;;;broken
bide;4;;;;;;moment
bids;4;;;;;;tiny
bier;4;;;;;;possible
bike;4;;;;;;gold
bile;4;;;;;;milk
bilk;4;;;;;;quiet
bill;4;;;;;;natural
bind;4;;;;;;lot
bins;4;;;;;;stone
bios;4;;;;;;act
bird;4;;;;;;build
bite;4;;;;;;middle
bits;4;;;;;;speed
blab;4;;;;;;count
blah;4;;;;;;cat
bled;4;;;;;;someone
blew;4;;;;;;sail
blip;4;;;;;;rolled
blob;4;;;;;;bear
bloc;4;;;;;;wonder
blot;4;;;;;;smiled
blow;4;;;;;;angle
blue;4;;;;;;fraction
blur;4;;;;;;Africa
boar;4;;;;;;killed
boas;4;;;;;;melody
boat;4;;;;;;bottom
bobs;4;;;;;;trip
bock;4;;;;;;hole
bode;4;;;;;;poor
bods;4;;;;;;let’s
body;4;;;;;;fight
bogs;4;;;;;;surprise
bogy;4;;;;;;French
boil;4;;;;;;died
bola;4;;;;;;beat
bold;4;;;;;;exactly
bole;4;;;;;;remain
boll;4;;;;;;dress
bolt;4;;;;;;iron
bomb;4;;;;;;couldn’t
bond;4;;;;;;fingers
bone;4;;;;;;row
bong;4;;;;;;least
bony;4;;;;;;catch
boob;4;;;;;;climbed
book;4;;;;;;wrote
boom;4;;;;;;shouted
boon;4;;;;;;continued
boor;4;;;;;;itself
boos;4;;;;;;else
boot;4;;;;;;plains
bops;4;;;;;;gas
bore;4;;;;;;England
born;4;;;;;;burning
bosh;4;;;;;;design
boss;4;;;;;;joined
both;4;;;;;;foot
bout;4;;;;;;law
bowl;4;;;;;;ears
bows;4;;;;;;grass
boxy;4;;;;;;you’re
boys;4;;;;;;grew
bozo;4;;;;;;skin
brad;4;;;;;;valley
brae;4;;;;;;cents
brag;4;;;;;;key
bran;4;;;;;;president
bras;4;;;;;;brown
brat;4;;;;;;trouble
bray;4;;;;;;cool
